"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/tier1/rc/en/EntertainmentLotteryGame0","32,665"
"/d/r/ne/1eb","32,632"
"/c/tvIp_R2","32,598"
"/d/r/sp/204","32,510"
"/d/r/sp/HLV","32,425"
"/tier1/rc/sp/100SimpleStory0","32,334"
"/d/r/ne/285","32,274"
"/d/r/sp/QG","32,220"
"/tier1/rc/ne/NewsSciTech","32,049"
"/d/r/ne/29d","32,032"
"/tier1/rc/sp/95SimpleStory3","32,008"
"/d/r/sp/33","31,991"
"/tier1/rc/ne/NewsUKRegionsScotland","31,975"
"/d/r/sp/8f","31,915"
"/d/r/sp/29c","31,832"
"/tier1/rc/ne/NewsTechnology","31,657"
"/d/r/ne/f7","31,580"
"/tier1/rc/sp/95SimpleStory4","31,438"
"/d/r/ne/IKU","31,292"
"/d/r/ne/ab","31,222"
"/d/r/sp/280","31,221"
"/d/r/tr/3e4","31,144"
"/tier1/rc/ne/14SimpleStory1","31,064"
"/tier1/rc/ne/14SimpleStory4","31,041"
"/tier1/rc/ne/16SimpleStory1","31,031"
"/tier1/rc/ne/14SimpleStory3","30,861"
"/d/r/ne/1fd","30,854"
"/d/r/ne/179","30,771"
"/d/r/ne/1b2","30,756"
"/tier1/rc/sp/SportRugbyUnion","30,664"
"/d/r/tr/RU","30,625"
"/d/r/ne/1c0","30,567"
"/tier1/rc/ne/15SimpleStory1","30,527"
"/tier1/rc/ne/14SimpleStory2","30,485"
"/c/tvIp_B1_WA","30,430"
"/d/r/ne/2bb","30,367"
"/d/r/sp/322","30,305"
"/d/r/ne/287","30,292"
"/d/r/ne/126","30,271"
"/d/r/sp/2e3","30,209"
"/d/r/ne/5b","30,159"
"/d/r/ne/f5","30,045"
"/d/r/sp/15a","29,948"
"/d/r/ne/174","29,585"
"/d/r/tr/RV","29,574"
"/tier1/rc/sp/112SimpleStory0","29,456"
"/d/r/ne/b7","29,391"
"/c/tvIp_B1_NI","29,232"
"/d/r/ne/79","29,226"
"/tier1/rc/ne/14SimpleStory5","28,978"
"/d/r/sp/27f","28,929"
"/d/r/sp/6a","28,911"
"/tier1/rc/en/03SimpleStory0","28,794"
"/tier1/rc/sp/SportOtherSportSport1","28,723"
"/d/r/sp/8e","28,712"
"/d/r/sp/329","28,520"
"/tier1/rc/sp/95SimpleStory5","28,489"
"/d/r/ne/5d","28,462"
"/tier1/rc/ne/14SimpleStory6","28,412"
"/tier1/rc/sp/SportFootballFinalsResults","28,351"
"/d/r/sp/1b5","28,309"
"/c/tvIp_CBEB","28,286"
"/tier1/rc/sp/97SimpleStory8","28,265"
"/d/r/ne/f3","28,234"
